"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Cmtr1",0.479834108561774,0.787715339573797,0.820238435033472,FALSE,"Cellular"
"Xpo1",0.479016780111862,0.788303562620387,0.820695509806266,FALSE,"Cellular"
"Commd9",0.4786449619482,0.788571095346998,0.820818607008292,FALSE,"Cellular"
"Impact",0.478041050558815,0.789005542999124,0.821115365400186,FALSE,"Cellular"
"Scrn1",0.473753457430606,0.792086992631456,0.824166216027204,FALSE,"Cellular"
"Vps45",0.473028002954526,0.792607834507639,0.824552104848249,FALSE,"Cellular"
"Sparcl1",0.469351503030579,0.79524490577998,0.827138950431012,FALSE,"Cellular"
"Prkca",0.466900888923257,0.797000300057496,0.828807953417082,FALSE,"Cellular"
"Bin2",0.466380672373407,0.797372683199644,0.829038391117936,FALSE,"Cellular"
"Smtnl2",0.464077607449513,0.799020185027046,0.830594247925638,FALSE,"Cellular"
"Slk",0.462727931131476,0.799984840096713,0.831282678293655,FALSE,"Cellular"
"Mtfp1",0.462908672024638,0.799855695509253,0.831282678293655,FALSE,"Cellular"
"Ddhd2",0.461497326314479,0.800863839606644,0.832038811443183,FALSE,"Cellular"
"Cand1",0.460259944072051,0.801747141016814,0.832799127396645,FALSE,"Cellular"
"Med17",0.456818614722328,0.804200809475794,0.835190035983739,FALSE,"Cellular"
"Pfkm",0.454329090812728,0.805973088707152,0.836556549313182,FALSE,"Cellular"
"Shfl",0.454566779247037,0.805803981602499,0.836556549313182,FALSE,"Cellular"
"Gnl2",0.454386261773638,0.80593241553191,0.836556549313182,FALSE,"Cellular"
"Asdurf",0.453932160662042,0.80625544219801,0.836691661231533,FALSE,"Cellular"
"Kidins220",0.449082101956488,0.809700481551042,0.840108180329803,FALSE,"Cellular"
"Mapt",0.447260182133043,0.810992144844087,0.841289587236376,FALSE,"Cellular"
"Gbp3",0.44695440422065,0.81120879299706,0.841355582700969,FALSE,"Cellular"
"Rnf220",0.445494709517039,0.812242464951597,0.842268780140302,FALSE,"Cellular"
"Kin",0.443266847912087,0.813818351028647,0.843743785396097,FALSE,"Cellular"
"Eed",0.442182761396609,0.814584401958729,0.844225482082688,FALSE,"Cellular"
"Nbea",0.442174743235623,0.814590065923729,0.844225482082688,FALSE,"Cellular"
"Dph5",0.441179768793742,0.815292686402153,0.84479441949473,FALSE,"Cellular"
"Aif1",0.439697471195326,0.81633861713494,0.845718808556228,FALSE,"Cellular"
