"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Tcf7l2",14.9021428002456,1.08232016316832e-06,4.47399198368187e-06,TRUE,"Insoluble"
"Polr1c",14.9026748771077,1.08198217670435e-06,4.47399198368187e-06,TRUE,"Insoluble"
"Rpl37",14.8932541363635,1.08798336188715e-06,4.49489785367632e-06,TRUE,"Insoluble"
"Coxfa4",14.8847022531712,1.09346227047072e-06,4.51501950300096e-06,TRUE,"Insoluble"
"Mzt2",14.8807961197968,1.09597472895753e-06,4.52287680137088e-06,TRUE,"Insoluble"
"Gatad2a",14.8719593322668,1.10168171212434e-06,4.5439012251043e-06,TRUE,"Insoluble"
"Ccnk",14.8450506039055,1.11925892294247e-06,4.61383400457398e-06,TRUE,"Insoluble"
"Naca",14.8438035162123,1.1200808661379e-06,4.61465853789186e-06,TRUE,"Insoluble"
"Atp5mg",14.8397140015412,1.12278081171047e-06,4.62321510704313e-06,TRUE,"Insoluble"
"Wdr3",14.8293595034523,1.12964851911348e-06,4.64891403872547e-06,TRUE,"Insoluble"
"Rpl7l1",14.818742517615,1.13673755721876e-06,4.67549483068914e-06,TRUE,"Insoluble"
"Man2c1",14.8145060675683,1.13957969164859e-06,4.68458798450554e-06,TRUE,"Insoluble"
"Smarcd1",14.8107993563428,1.14207274560638e-06,4.69223686179365e-06,TRUE,"Insoluble"
"Nufip2",14.8073917797805,1.14436981603812e-06,4.69907251522018e-06,TRUE,"Insoluble"
"Nap1l4",14.8035078445944,1.14699410228494e-06,4.7026765802745e-06,TRUE,"Insoluble"
"Cwc22",14.8032790902858,1.14714886931224e-06,4.7026765802745e-06,TRUE,"Insoluble"
"Cdh2",14.8034828381516,1.14701101965434e-06,4.7026765802745e-06,TRUE,"Insoluble"
"HVM32_MOUSE",14.7936456081888,1.15368710230987e-06,4.72686819389247e-06,TRUE,"Insoluble"
"Strap",14.7903406934666,1.15593942625804e-06,4.73348263953346e-06,TRUE,"Insoluble"
"Reep3",14.7868642700685,1.15831377141785e-06,4.74058918032014e-06,TRUE,"Insoluble"
"Usf1",14.7851821513856,1.15946452769062e-06,4.74268290819429e-06,TRUE,"Insoluble"
"Cnot7",14.7773808361106,1.16481769476416e-06,4.76195443258957e-06,TRUE,"Insoluble"
"Sirt3",14.7656414615863,1.17292358446662e-06,4.79245209071715e-06,TRUE,"Insoluble"
"Ddx54",14.7588081677258,1.17766998177369e-06,4.80919717378137e-06,TRUE,"Insoluble"
"Tmem86a",14.7575411189924,1.17855235459249e-06,4.8101531744094e-06,TRUE,"Insoluble"
"Tbl3",14.7561530197605,1.17951984836323e-06,4.81145534626452e-06,TRUE,"Insoluble"
"Fermt3",14.7531363540911,1.18162540473542e-06,4.81739588084439e-06,TRUE,"Insoluble"
"Znf830",14.7512103933252,1.18297180398822e-06,4.81759099099484e-06,TRUE,"Insoluble"
"Rangap1",14.7512576833545,1.18293872463246e-06,4.81759099099484e-06,TRUE,"Insoluble"
"Man2a1",14.7482863993167,1.18501908247671e-06,4.82328118045925e-06,TRUE,"Insoluble"
"Itgad",14.7388712775602,1.19163731623774e-06,4.8475596965373e-06,TRUE,"Insoluble"
"Crebbp",14.7359027142859,1.19373231429568e-06,4.85342124497204e-06,TRUE,"Insoluble"
"Masp2",14.7253583792241,1.2012060323868e-06,4.88113294650059e-06,TRUE,"Insoluble"
"Ecpas",14.7151537023198,1.20848724484293e-06,4.90803248863411e-06,TRUE,"Insoluble"
"Spindoc",14.7088543962789,1.21300574202171e-06,4.92368851520847e-06,TRUE,"Insoluble"
"Kctd12",14.6974960032471,1.22119940152318e-06,4.95423704718535e-06,TRUE,"Insoluble"
"Tial1",14.696373168673,1.22201263366651e-06,4.95482718131449e-06,TRUE,"Insoluble"
"Pqbp1",14.6882393322548,1.2279212338409e-06,4.97606529497513e-06,TRUE,"Insoluble"
"Fads6",14.6848333211073,1.2304046142272e-06,4.98340733491584e-06,TRUE,"Insoluble"
"Wtap",14.6836596483347,1.23126161769904e-06,4.98415777595575e-06,TRUE,"Insoluble"
"Cd14",14.6759257902055,1.23692497837296e-06,5.0043529659364e-06,TRUE,"Insoluble"
"Usp11",14.672419458599,1.23950188247237e-06,5.01204575909808e-06,TRUE,"Insoluble"
