"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000001440",12003.969,9514.836,11490.429,13730.919,7775,10287.442,11483.812,14650.56
"ENSMUSG00000001441",5166.189,6425.323,6663.81,5824.601,10078.633,6824.113,6797.235,7354.913
"ENSMUSG00000001444",14,12,7,10,17,26,61,15
"ENSMUSG00000001445",1614,1846.2,1963.224,1730,2041.012,2005.008,1446.175,2195.256
"ENSMUSG00000001467",4497.7,37924.801,7055.634,3268.424,46985.353,2133.124,2168.217,3287.346
"ENSMUSG00000001472",10773.653,11662.946,11007.133,12545.312,11659.005,12458.729,12256.759,12299.391
"ENSMUSG00000001473",3119.625,2268.552,3970.176,3360.611,3686.001,1534.998,4417,3133.856
"ENSMUSG00000001482",984.194,1130,1115,1123.001,996.768,1167,827.001,1350.031
"ENSMUSG00000001493",205,281,239,247,456,325,289,236
"ENSMUSG00000001494",23,3,13,31,10,7,3,17
"ENSMUSG00000001496",19.925,15.445,16.939,16.36,41.829,27.946,15.847,31.558
"ENSMUSG00000001497",10,1,3,6,9.04,1,3.007,1
"ENSMUSG00000001504",3,0,3,4,0,0,2,0
"ENSMUSG00000001506",11310.815,9599.685,16432.521,14641.252,7053.829,8439.399,10730.676,19479.179
"ENSMUSG00000001507",1640.999,3415.545,1966,2754.066,2428.999,2840.001,2714.001,1294.999
"ENSMUSG00000001508",22,20,9,22,21,14,13,16
"ENSMUSG00000001510",2,0,0,3,6,2,0,57
"ENSMUSG00000001517",1444.026,603.012,1041.981,1473.995,255,819.991,704.988,1218.001
"ENSMUSG00000001518",959.352,954.19,946.526,1083.401,939.458,1310.709,949.986,1249.091
"ENSMUSG00000001520",459.697,573.113,355.779,562.999,314.632,307.783,413.554,653.139
"ENSMUSG00000001521",1675.633,1576.644,2116.671,2065.526,1354.166,2022.702,1619.986,2132.797
"ENSMUSG00000001524",643.999,470.999,640.999,528.001,494,566.001,402.002,784.999
"ENSMUSG00000001525",25384.53,12292.167,24654.766,19458.939,10727.613,16517.501,18910.393,24009.603
"ENSMUSG00000001542",1123,2248.167,1200.002,1177.04,2300.106,935,2294.064,1223.001
"ENSMUSG00000001552",1969.642,2912.037,2700.228,2392.672,3649.065,3467.44,2159.754,3387.437
"ENSMUSG00000001555",3703.446,2763.705,5130.912,4455.432,2668.391,3890.158,2885.846,5180.818
"ENSMUSG00000001558",33,49,30,21,35,49,26,48
"ENSMUSG00000001566",0,0,0,0,0,0,0,0
"ENSMUSG00000001569",2603.222,3061.215,2437.28,2493.193,3635.354,2391.214,2424.49,3080.273
"ENSMUSG00000001576",3628.626,4080.001,3867.196,3372.001,4583.478,2961.796,2755.206,3790.578
"ENSMUSG00000001583",63.004,119.448,44.262,62.591,142.949,206.728,290.977,35.548
"ENSMUSG00000001588",46,64,58,82.999,201,152,267,73
"ENSMUSG00000001604",229,160,220,265,151,512,278,246.012
"ENSMUSG00000001622",12,4.007,12.275,6.677,17.012,4.006,8.067,7.826
"ENSMUSG00000001627",8982.662,12221.529,6957.54,6718,14770.696,4746.708,14603.108,4167
"ENSMUSG00000001630",667.85,1006.944,688.565,899.851,1336.755,984.668,806.164,1012.18
"ENSMUSG00000001632",1799.18,1859.916,1538.079,2256.906,1867.73,2075.004,2229.933,2222.063
"ENSMUSG00000001642",4707.479,4530.48,8433.988,7236.623,4087.034,8222.265,5673.782,7268.365
