ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSMUSG00000055239,4224.50582446615,0.0258680267489757,0.134247482581154,0.192689101140784,0.847202459527284,0.94076376802532,Kcmf1
ENSMUSG00000055240,1136.69378147425,0.0925251538784208,0.170955117787936,0.541224825999039,0.588352627814301,0.809741054119454,Zfp101
ENSMUSG00000055254,1012.75622842056,-0.97564936207824,0.463985501615321,-2.10275829456224,0.035486903384414,0.164422415778576,Ntrk2
ENSMUSG00000055296,4725.28245287456,-0.110146718585196,0.194846051862204,-0.565301259802238,0.571868871967009,0.799859505166484,Tmem245
ENSMUSG00000055301,209.475953591297,1.53432251568878,0.668025128290365,2.29680359422329,0.0216299764422227,0.118494343588063,Adh7
ENSMUSG00000055302,18470.0692093248,0.142227594104604,0.282461390574271,0.503529327726674,0.614592166166371,0.826326952516999,Mrfap1
ENSMUSG00000055305,184.638730596742,0.0172521687140288,0.173527336326864,0.0994204664188,0.920804433415271,0.970494006835461,Zfp93
ENSMUSG00000055313,143.989899490066,-0.172319325361002,0.287946363581405,-0.598442443299984,0.549544752695272,0.784820943046349,Pgbd1
ENSMUSG00000055319,2799.73214400114,0.117683869970754,0.185202737854839,0.63543266872758,0.525146267177962,0.768083006336085,Sec23ip
ENSMUSG00000055320,6005.02022321935,-0.336541154706727,0.389581826460214,-0.8638522945605,0.387669036104319,0.664711436527837,Tead1
ENSMUSG00000055322,6332.58256032731,-0.225753918369617,0.213985826300813,-1.05499472685757,0.291427736429871,0.574252183042092,Tns1
ENSMUSG00000055334,342.101557868361,0.191856664105355,0.213497842036928,0.898635144387877,0.368847032648405,0.650738406713633,Snupn
ENSMUSG00000055341,167.560602168371,-0.0552660213090507,0.67779445579891,-0.0815380250402154,0.935014085928945,0.976246568391544,Zfp457
ENSMUSG00000055371,1904.31748451378,-0.114095753025294,0.121050375785887,-0.942547697886592,0.345912302903547,0.628007469859078,Stam2
ENSMUSG00000055401,852.515944249281,-0.276139899700717,0.276907314516155,-0.997228622086857,0.318653550968402,0.603382747728589,Fbxo6
ENSMUSG00000055407,148.530657309438,1.02493090023014,0.350450714937351,2.92460781657519,0.0034489058139188,0.0322953597369827,Map6
ENSMUSG00000055409,134.7311080141,1.22577589954021,0.43892022685784,2.79270770525967,0.00522688988492637,0.0435033233737412,Nell1
ENSMUSG00000055413,477.762150911902,-1.7930613826915,0.528572056114538,-3.39227426412219,6.9315020317124e-4,0.00961673583214466,H2-Q5
ENSMUSG00000055415,70.4907888157641,1.16880232244328,0.652916688739111,1.79012474730954,0.0734338592316986,0.2625390781437,Atp10b
ENSMUSG00000055421,364.19631530337,-0.727240500313064,0.489217854432588,-1.48653711986155,0.137137105979262,0.381865612075944,Pcdh9
ENSMUSG00000055430,8157.41799803599,-0.455625234938475,0.617293102367243,-0.738101937622838,0.460452506408332,0.721559332790938,Nap1l5
ENSMUSG00000055435,5314.80028644657,0.392976250202298,0.375573176629397,1.04633737086627,0.295405297209096,0.57874624217053,Maf
ENSMUSG00000055436,15307.6428611188,0.054513209226429,0.127230230757547,0.428461136176911,0.668315422597417,0.85381019515693,Srsf11
ENSMUSG00000055447,6994.51984171589,-0.930303010977519,0.241603272130176,-3.85053978274048,1.1785778321602e-4,0.00243340092445678,Cd47
ENSMUSG00000055480,127.404817459964,-0.191832051556097,0.180744442439215,-1.06134412193952,0.288533541076633,0.571190565297131,Zfp458
ENSMUSG00000055485,1332.07273310858,-0.0715070703950472,0.374915471979129,-0.190728512796687,0.8487382987607,0.941473372621662,Mtcl2
ENSMUSG00000055489,44.4266584511432,-0.288241406610909,0.70081091616322,-0.411296970356804,NA,NA,Ano5
ENSMUSG00000055491,2058.02260257373,-0.233119817074891,0.33672358834128,-0.692318047046401,0.488737619072225,0.742872242030128,Pprc1
ENSMUSG00000055493,356.916878674295,-0.792294218000288,0.342752648225993,-2.31156264466815,0.0208017972079038,0.115510855630155,Epm2a
ENSMUSG00000055523,60.9277462706209,-0.601600560743444,0.337081054453922,-1.78473560822945,0.0743042122599909,0.264626164982496,Gucy2g
ENSMUSG00000055531,6046.49256773852,0.0836725478893695,0.226393923886993,0.369588310731941,0.711689262043966,0.877130893106389,Cpsf6
ENSMUSG00000055538,2425.8010699006,-0.161146546209285,0.253290652609195,-0.63621197446208,0.524638269407198,0.767719797700529,Zcchc24
ENSMUSG00000055541,152.667467067447,-0.674819091437473,0.415200660259185,-1.62528424452944,0.104102006976918,0.326517780661383,Lair1
ENSMUSG00000055546,37.6464063323276,-0.130399222301203,0.513674407105271,-0.253855789771671,0.799606970775858,0.91980534717043,Timd4
ENSMUSG00000055553,1585.42159426783,-0.00450011452134807,0.160723777674996,-0.0279990589223698,0.977662901724939,0.991079232103575,Kxd1
ENSMUSG00000055555,216.358043290176,-1.46349132179675,0.420009966558639,-3.48442046218068,4.9320402663293e-4,0.00743604011717055,Ct55
ENSMUSG00000055560,39.7535542788483,-0.292273119117958,0.375644690811805,-0.778057367152794,0.436535194435934,0.701503574080988,Zfp459
ENSMUSG00000055567,12.1247687643785,1.61165701582313,0.563660248436959,2.85927031450645,0.00424616786944783,0.0376001897485841,Unc80
